attributeName,code,definition
discharge_location,BV,Bella Vista
runoff_location,centralNorth,Salt River at Central Avenue (north)
runoff_location,centralSouth,Salt River at Central Avenue (south)
discharge_location,ENC,Encantada
runoff_location,KP,Kiwanis Park in Tempe AZ
runoff_location,LM,Indian Bend Wash at Lake Marguerite
discharge_location,MR,Martin Residence
discharge_location,MS,Montessori
discharge_location,PIE,Pierce
runoff_location,SGC,Indian Bend Wash at Silverado Golf Course
discharge_location,SW,Sweetwater
