attributeName,code,definition
runoff_location,Ave7th,7th Avenue
runoff_location,BV,Bella Vista
runoff_location,CB,Camelback
runoff_location,centralNorth,central north
runoff_location,centralSouth,central south
runoff_location,ENC,Encantada
runoff_location,IBW,Indian Bend Wash
runoff_location,KP,Kiwanis Park
runoff_location,LM,Lake Marguerite
runoff_location,MR,Martin Residence
runoff_location,MS,Montessori
runoff_location,PIE,Pierce
runoff_location,Price,Price drain
runoff_location,SGC,Silverado Golf Course
runoff_location,SW,Sweetwater
